,1p.prs,1p.pst,3p.prs,3p.pst,count
1814,clash,clashed,clashes,clashed,3531117
1815,clasp,clasped,clasps,clasped,1354393
1816,scream,screamed,screams,screamed,4310000
1817,class,classed,classes,classed,0
1818,screech,screeched,screeches,screeched,0
1819,screen,screened,screens,screened,0
1820,screw,screwed,screws,screwed,8177263
1821,classify,classified,classifies,classified,1722440
1822,scribble,scribbled,scribbles,scribbled,374119
1823,scribe,scribed,scribes,scribed,1028438
1824,scrimmage,scrimmaged,scrimmages,scrimmaged,0
1825,scrimp,scrimped,scrimps,scrimped,25301
1826,scrimshank,scrimshanked,scrimshanks,scrimshanked,0
1827,clatter,clattered,clatters,clattered,0
1828,claw,clawed,claws,clawed,0
1829,scrounge,scrounged,scrounges,scrounged,0
1830,clean,cleaned,cleans,cleaned,45381752
1831,scrub,scrubbed,scrubs,scrubbed,2360299
1832,scrummage,scrummaged,scrummages,scrummaged,0
1833,cleanse,cleansed,cleanses,cleansed,0
1834,scrunch,scrunched,scrunches,scrunched,46703
1835,scruple,scrupled,scruples,scrupled,0
1836,clear,cleared,clears,cleared,88447610
1837,scrutinize,scrutinized,scrutinizes,scrutinized,277023
1838,scud,scudded,scuds,scudded,248971
1839,scuff,scuffed,scuffs,scuffed,224673
1840,scuffle,scuffled,scuffles,scuffled,0
1841,scull,sculled,sculls,sculled,174118
1842,sculpt,sculpted,sculpts,sculpted,382720
1843,cleave,cleaved,cleaves,cleaved,0
1844,sculpture,sculptured,sculptures,sculptured,0
1845,scupper,scuppered,scuppers,scuppered,45774
1846,clench,clenched,clenches,clenched,0
1847,scurry,scurried,scurries,scurried,240322
1848,clerk,clerked,clerks,clerked,0
1849,scuttle,scuttled,scuttles,scuttled,0
1850,scythe,scythed,scythes,scythed,241758
1851,clew,clewed,clews,clewed,86284
1852,click,clicked,clicks,clicked,536746424
1853,climax,climaxed,climaxes,climaxed,1965596
1854,climb,climbed,climbs,climbed,5697476
1855,clinch,clinched,clinches,clinched,0
1856,seal,sealed,seals,sealed,0
1857,cling,clung,clings,clung,946281
1858,clink,clinked,clinks,clinked,164177
1859,seam,seamed,seams,seamed,0
1860,clip,clipped,clips,clipped,31264432
1861,clip,clipped,clips,clipped,31264432
1862,sear,seared,sears,seared,437507
1863,cloak,cloaked,cloaks,cloaked,0
1864,search,searched,searches,searched,0
1865,clobber,clobbered,clobbers,clobbered,0
1866,clock,clocked,clocks,clocked,0
1867,season,seasoned,seasons,seasoned,0
1868,clog,clogged,clogs,clogged,787644
1869,seat,seated,seats,seated,0
1870,cloister,cloistered,cloisters,cloistered,0
1871,clop,clopped,clops,clopped,74535
1872,close,closed,closes,closed,107853068
1873,secede,seceded,secedes,seceded,128904
1874,seclude,secluded,secludes,secluded,0
1875,second,seconded,seconds,seconded,159343399
1876,second,seconded,seconds,seconded,159343399
1877,closet,closeted,closets,closeted,0
1878,clot,clotted,clots,clotted,0
1879,clothe,clothed,clothes,clothed,308351
1880,cloud,clouded,clouds,clouded,11337220
1881,secrete,secreted,secretes,secreted,0
1882,clout,clouted,clouts,clouted,0
1883,section,sectioned,sections,sectioned,0
1884,clown,clowned,clowns,clowned,3081501
1885,cloy,cloyed,cloys,cloyed,0
1886,club,clubbed,clubs,clubbed,0
1887,secularize,secularized,secularizes,secularized,0
1888,secure,secured,secures,secured,62287766
1889,cluck,clucked,clucks,clucked,0
1890,clump,clumped,clumps,clumped,345355
1891,sedate,sedated,sedates,sedated,169814
1892,clunk,clunked,clunks,clunked,0
1893,cluster,clustered,clusters,clustered,0
1894,clutch,clutched,clutches,clutched,4248843
1895,clutter,cluttered,clutters,cluttered,0
1896,seduce,seduced,seduces,seduced,586830
1897,coach,coached,coaches,coached,0
1898,see,saw,sees,saw,0
1899,coagulate,coagulated,coagulates,coagulated,31588
1900,seed,seeded,seeds,seeded,0
1901,coal,coaled,coals,coaled,0
1902,coalesce,coalesced,coalesces,coalesced,226192
1903,seek,sought,seeks,sought,24135344
1904,seem,seemed,seems,seemed,0
1905,coarsen,coarsened,coarsens,coarsened,13565
1906,coast,coasted,coasts,coasted,47716394
1907,seep,seeped,seeps,seeped,0
1908,seesaw,seesawed,seesaws,seesawed,0
1909,seethe,seethed,seethes,seethed,42974
1910,coat,coated,coats,coated,0
1911,segment,segmented,segments,segmented,0
1912,segregate,segregated,segregates,segregated,231985
1913,coax,coaxed,coaxes,coaxed,1132263
1914,seine,seined,seines,seined,0
1915,cobble,cobbled,cobbles,cobbled,487693
1916,cobble,cobbled,cobbles,cobbled,487693
1917,seize,seized,seizes,seized,1908868
1918,select,selected,selects,selected,168673045
1919,cock,cocked,cocks,cocked,0
1920,cocoon,cocooned,cocoons,cocooned,0
1921,cod,codded,cods,codded,10426143
1922,coddle,coddled,coddles,coddled,43139
1923,code,coded,codes,coded,0
1924,codify,codified,codifies,codified,163059
1925,coerce,coerced,coerces,coerced,0
1926,coexist,coexisted,coexists,coexisted,457780
1927,cogitate,cogitated,cogitates,cogitated,14302
1928,sell,sold,sells,sold,137696613
1929,cognize,cognized,cognizes,cognized,13818
1930,cohabit,cohabited,cohabits,cohabited,35751
1931,sellotape,sellotaped,sellotapes,sellotaped,0
1932,cohere,cohered,coheres,cohered,43940
1933,semaphore,semaphored,semaphores,semaphored,574430
1934,coil,coiled,coils,coiled,0
1935,coin,coined,coins,coined,0
1936,coincide,coincided,coincides,coincided,0
1937,coke,coked,cokes,coked,3505322
1938,send,sent,sends,sent,274103587
1939,cold-shoulder,cold-shouldered,cold-shoulders,cold-shouldered,0
1940,collaborate,collaborated,collaborates,collaborated,2564383
1941,collapse,collapsed,collapses,collapsed,0
1942,collar,collared,collars,collared,0
1943,sense,sensed,senses,sensed,0
